,SQFT,PBA,HDD65,CDD65
885,11500,26,7038,528
886,325000,16,1177,3515
887,5200,25,5901,618
888,74000,16,2181,2828
889,210000,4,1759,374
890,320000,16,3883,1258
891,245000,16,7866,424
892,1500000,16,2965,1568
893,400000,17,8282,875
894,210000,2,5107,1201
895,25000,17,1587,1959
896,700000,2,2308,235
897,106000,16,2804,1647
898,93000,17,4921,1186
899,700000,16,3100,1652
900,73000,2,2283,349
901,1000000,24,9256,584
902,280000,16,7450,548
903,340000,16,6523,992
904,320000,2,5377,988
905,10001,8,2366,670
906,450000,16,6030,547
907,1400000,16,5132,1224
908,11000,23,3870,1411
909,700000,16,3703,1243
910,205000,2,6255,529
911,1000000,7,1104,1158
912,465000,16,2925,1263
913,140000,23,6176,691
914,33500,17,6769,706
915,1600000,2,3282,164
916,100000,2,5654,913
917,245000,16,622,4242
918,74000,5,4526,1421
919,325000,16,6440,528
920,83000,16,4990,816
921,81000,17,4564,1172
922,475000,16,2418,247
923,12750,2,7960,360
924,106000,18,8447,636
925,84000,7,3862,1205
926,355000,16,652,4464
927,5600,26,2549,1685
928,12500,12,3461,1383
929,138000,25,5466,591
930,350000,8,4873,810
931,120000,7,7702,651
932,425000,2,5934,689
933,330000,2,3064,1100
934,57000,8,7329,694
935,17000,23,3009,1601
936,33500,2,7354,491
937,230000,17,3786,1414
938,205000,16,5270,714
939,20000,2,5646,904
940,310000,16,6608,492
941,1600000,5,7208,366
942,136000,25,2515,1721
943,370000,2,5419,804
944,800000,5,4672,1424
945,43000,23,3085,1747
946,900000,16,5204,895
947,10001,2,4759,464
948,415000,16,5146,1295
949,54000,2,6166,751
950,250000,24,1902,1927
951,190000,18,5421,1296
952,400000,18,1120,689
953,91000,2,1647,2728
954,106000,14,4344,270
955,360000,5,7348,430
956,1400000,24,4805,1117
957,104000,14,5680,477
958,164000,18,6900,465
959,41000,12,4246,1640
960,53000,16,3925,1477
961,82000,14,3012,1843
962,60000,23,1944,2592
963,4000,5,4974,1149
964,6100,17,3116,1362
965,270000,2,4813,1247
966,73000,5,6172,843
967,475000,16,6830,638
968,1500000,16,582,4087
969,138000,25,1475,2872
970,11000,23,3261,1956
971,205000,2,900,2007
972,350000,16,5159,725
973,335000,16,9713,563
974,122000,2,5851,660
975,450000,25,4794,984
976,345000,2,5384,892
977,350000,5,9043,694
978,23500,26,8515,388
979,83000,5,3240,1961
980,500000,16,3000,1955
981,600000,16,1563,2779
982,600000,17,5943,620
983,1400000,2,3430,1375
984,3000,15,5654,828
985,230000,2,2678,201
986,52000,7,5286,844
987,305000,2,5938,669
988,51000,23,1643,2878
989,24250,4,5843,824
990,300000,2,5293,960
991,500000,16,6328,544
992,186000,2,4660,1351
993,1000000,24,6546,730
994,280000,5,2117,3374
995,100000,4,5201,1038
996,800000,16,853,4336
997,1600000,16,5429,928
998,325000,14,7499,556
999,305000,16,6672,496
1000,900000,16,6726,542
1001,700000,2,4606,142
1002,39500,4,1998,503
1003,1000000,91,4714,1164
1004,500001,16,2551,2128
1005,285000,16,5791,1157
1006,99000,2,1053,2238
1007,130000,25,569,4176
1008,280000,16,2703,1497
1009,148000,2,6014,915
1010,45000,2,8900,605
1011,130000,14,3987,1449
1012,245000,16,8885,545
1013,114000,4,5455,815
1014,235000,16,5849,774
1015,210000,14,6399,1009
1016,118000,18,7547,235
1017,150000,12,7878,780
1018,10000,5,8781,470
1019,14000,5,6527,678
1020,225000,16,1377,1774
1021,1600000,2,5779,640
1022,80000,16,1403,2947
1023,82000,23,4251,1201
1024,24750,13,3533,1563
1025,395000,16,5781,798
1026,86000,13,6921,605
1027,84000,13,2860,1928
1028,134000,7,6995,460
